"code_tract","mean_age","mode_age","imputed"
"350070905000014",27.0842696629213,"idade_30a39",FALSE
"350070905000015",34.9355716878403,"idade_30a39",FALSE
"350070905000016",35.2987012987013,"idade_40a49",FALSE
"350070905000017",35.7847866419295,"idade_20a29",FALSE
"350070905000018",30.6582430806258,"idade_20a29",FALSE
"350070905000019",31.7132838283828,"idade_30a39",FALSE
"350070905000020",34.2127329192547,"idade_20a29",FALSE
"350070905000021",25.624715261959,"idade_30a39",FALSE
"350070905000022",28.6714285714286,"idade_0a9",FALSE
"350070905000023",27.9413580246914,"idade_0a9",FALSE
"350070905000024",31.2883755588674,"idade_20a29",FALSE
"350070905000025",21.2682926829268,"idade_0a9",FALSE
"350070905000026",27.7560568086884,"idade_20a29",FALSE
"350070905000027",31.3870523415978,"idade_30a39",FALSE
"350070905000028",37.0046040515654,"idade_20a29",FALSE
"350070905000029",28.5819812126388,"idade_20a29",FALSE
"350070905000030",29.7943969610636,"idade_20a29",FALSE
"350070905000031",31.1269841269841,"idade_20a29",FALSE
"350070905000032",27.7234809474768,"idade_20a29",FALSE
"350070905000033",36.0439356435644,"idade_30a39",FALSE
"350070905000034",25.9434523809524,"idade_0a9",FALSE
"350070905000035",30.2921348314607,"idade_20a29",FALSE
"350070905000036",31.2608695652174,"idade_30a39",FALSE
"350070905000037",44.5,"idade_60a69",FALSE
"350070905000038",32.6170212765957,"idade_0a9",FALSE
"350070905000039",29.4096385542169,"idade_15a19",FALSE
"350070905000040",63.9827586206897,"idade_60a69",FALSE
"350070905000041",32.1214833759591,"idade_30a39",FALSE
"350070905000042",36.812734082397,"idade_20a29",FALSE
"350070905000043",35.2035519125683,"idade_20a29",FALSE
"350070905000044",28.8092105263158,"idade_30a39",FALSE
"350070905000045",30.6929824561403,"idade_20a29",FALSE
"350070905000046",25.9326812428078,"idade_20a29",FALSE
"350070905000047",32.3571428571429,"idade_30a39",FALSE
"350070910000001",33.4185393258427,"idade_20a29",FALSE
"350070910000002",32.0994694960212,"idade_0a9",FALSE
"350070910000003",29.5778546712803,"idade_0a9",FALSE
"350075805000001",32.3829656862745,"idade_20a29",FALSE
"350075805000002",29.4227150537634,"idade_20a29",FALSE
"350075805000003",33.0365853658537,"idade_15a19",FALSE
"350075805000004",33.3386524822695,"idade_20a29",FALSE
"350075805000005",34.8472222222222,"idade_30a39",FALSE
"350075805000006",24.9861111111111,"idade_0a9",FALSE
"350075805000007",33.3523391812865,"idade_0a9",FALSE
"350075805000008",33.5589887640449,"idade_40a49",FALSE
"350075805000009",33.7103077121752,"idade_20a29",TRUE
"350075805000010",30.1082589285714,"idade_20a29",FALSE
"350075805000011",35.2575757575758,"idade_20a29",FALSE
"350075805000012",33.7103077121752,"idade_20a29",TRUE
"350075805000013",34.3636363636364,"idade_20a29",FALSE
"350075805000014",30.4677419354839,"idade_0a9",FALSE
"350075805000015",30.3069620253165,"idade_20a29",FALSE
"350075805000016",31.758064516129,"idade_0a9",FALSE
"350080805000001",42.5091533180778,"idade_70",FALSE
"350080805000002",39.7083333333333,"idade_20a29",FALSE
"350080805000003",35.9525139664804,"idade_40a49",FALSE
"350080805000004",39.8723404255319,"idade_30a39",FALSE
"350080805000005",33.0811897106109,"idade_30a39",FALSE
"350080805000006",33.6487068965517,"idade_30a39",FALSE
"350080805000007",39.4444444444444,"idade_60a69",FALSE
"350080805000008",37.4017857142857,"idade_20a29",FALSE
"350080805000009",45.5099337748344,"idade_40a49",FALSE
"350080805000010",40.6007462686567,"idade_60a69",FALSE
"350080805000011",39.8205128205128,"idade_40a49",FALSE
"350080805000012",43.1647727272727,"idade_40a49",FALSE
"350080805000013",42.958904109589,"idade_50a59",FALSE
"350090705000001",33.9423368740516,"idade_20a29",FALSE
"350090705000002",32.0634146341463,"idade_30a39",FALSE
"350090705000003",30.3226221079691,"idade_20a29",FALSE
"350090705000004",31.0722891566265,"idade_20a29",FALSE
"350090705000006",26.32,"idade_30a39",FALSE
"350090715000001",30.735632183908,"idade_20a29",FALSE
"350090715000002",29.9960317460317,"idade_40a49",FALSE
"350100405000001",43.5124309392265,"idade_70",FALSE
"350100405000002",39.7771739130435,"idade_30a39",FALSE
"350100405000003",41.1766467065868,"idade_20a29",FALSE
"350100405000004",33.7103077121752,"idade_20a29",TRUE
"350100405000005",44.5473186119874,"idade_70",FALSE
"350100405000006",30.2898351648352,"idade_20a29",FALSE
"350100405000007",32.6402763018066,"idade_20a29",FALSE
